STCOFIPS,TOT_POP,MALE_POP,FEMALE_POP,UNDER_5_POP,5_9_POP,10_14_POP,15_19_POP,20_24_POP,25_34_POP,35_44_POP,45_54_POP,55_59_POP,60_64_POP,65_74_POP,75_84_POP,85_PLUS_POP,MEDIAN_AGE,WHITE_POP,BLACK_POP,NATIVE_POP,ASIAN_POP,OTHER_RACE_POP,HISPANIC_LATINO_POP,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,OWNER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_UNITS
01001,58761,28663,30098,3370,3314,4376,3924,3589,7416,7933,7881,4280,3502,5301,2973,902,39,43747,11496,59,658,321,58761,24457,22308,16832,5476
01003,233420,114077,119343,12104,12165,16137,14320,11672,25738,28170,29977,15824,17814,29682,15151,4666,43.7,195998,19445,848,2046,4414,233420,125113,90802,70708,20094
01005,24877,12973,11904,1299,1616,1338,1455,1494,3368,3101,3056,1558,1666,2870,1582,474,40.6,11309,11668,74,126,1088,24877,11673,9016,5858,3158
01007,22251,11897,10354,1157,1438,1302,1308,1121,3297,3022,2942,1460,1470,2205,1199,330,40.3,16872,4603,21,69,108,22251,9046,7216,5465,1751
01009,59077,29864,29213,3410,3525,4135,3705,3485,7014,7131,7741,4135,4005,6295,3486,1010,40.8,53941,729,227,100,1859,59077,24677,21626,17144,4482
01011,10328,5542,4786,562,602,751,892,365,1383,1263,1425,637,734,1049,418,247,39.2,2397,7117,0,43,568,10328,4541,3450,2231,1219
01013,18981,8928,10053,1054,1080,1363,1060,1158,2122,2394,2170,1188,1371,2296,1305,420,41.6,9777,8462,69,243,57,18981,9835,7131,5047,2084
01015,116162,56185,59977,6503,6467,7156,8811,8294,14795,13837,13965,7742,7798,12550,6772,1472,39.2,83306,25631,258,765,2223,116162,53167,44693,31694,12999
01017,34612,16485,18127,2086,1611,2296,1784,2129,4333,3928,4538,2836,2241,3992,2239,599,42.2,19642,14114,21,60,240,34612,16427,13143,9486,3657
01019,25069,12261,12808,1151,1082,1634,1339,1340,2609,2702,3364,1956,2065,3478,1751,598,46.8,22884,1008,120,27,206,25069,14687,9997,7972,2025
01021,45140,22048,23092,2709,3349,2834,2754,2885,5622,5610,5749,2987,3036,4514,2424,667,39.9,36693,4257,647,229,1512,45140,19546,16931,12700,4231
01023,12669,5980,6689,686,585,778,922,646,1222,1246,1591,1051,992,1655,842,453,46.7,7180,5062,28,15,85,12669,7138,5228,4286,942
01025,23058,11032,12026,1421,1188,1554,1472,1408,2564,2602,2874,1661,1614,2565,1514,621,42.7,11862,10490,15,90,194,23058,11733,8188,5916,2272
01027,14209,6931,7278,745,819,823,1014,755,1528,1514,1947,1057,1048,1660,991,308,43.9,11581,1790,5,36,128,14209,7040,5485,4297,1188
01029,15144,7565,7579,901,1054,923,849,787,1948,1630,1985,1006,1087,1739,843,392,42.2,14028,411,35,15,263,15144,6818,5761,4496,1265
01031,53559,26626,26933,3168,3304,3956,3454,3121,6730,6980,7082,2986,3613,5447,2817,901,39.2,38834,8997,368,563,1083,53559,24155,20363,14145,6218
01033,57270,27911,29359,3158,3126,3714,3265,3172,7082,6793,7388,3893,4226,6636,3763,1054,42,44698,9185,178,214,1395,57270,27709,23266,16520,6746
01035,11576,5639,5937,465,706,778,750,495,1453,1071,1386,705,1053,1525,985,204,46.2,5751,5611,33,36,24,11576,6451,4453,3326,1127
01037,10329,5306,5023,464,290,580,571,375,1015,1126,1469,938,978,1479,769,275,50.2,6859,3120,9,0,75,10329,6045,3999,3249,750
01039,37542,18243,19299,2147,2072,2552,2381,1943,4199,4116,4578,2607,2782,4491,2518,1156,42.9,31404,4606,117,218,293,37542,18644,14194,10642,3552
01041,13205,6451,6754,708,856,933,755,805,1556,1453,1653,800,1075,1594,708,309,42.3,9386,3059,10,154,142,13205,6553,4839,3609,1230
01043,88284,43820,44464,5173,5498,5487,5607,4999,10819,10537,11507,6156,5919,9708,5472,1402,41.4,81077,960,355,278,1460,88284,39182,33649,25640,8009
01045,49455,24461,24994,3243,3270,3026,2913,3316,6926,5956,5765,3274,3108,5192,2688,778,37.7,34817,10416,476,611,1176,49455,22829,19400,11669,7731
01047,38326,17895,20431,2284,2422,2642,2677,2317,4320,4221,4454,2633,2916,4477,2238,725,40.4,10634,26467,208,240,16,38326,18992,14753,9060,5693
01049,71680,35847,35833,4110,4146,5733,4887,4419,8427,8963,9158,4387,5076,7531,3590,1253,39.6,59102,1043,1098,72,6443,71680,30716,25690,18974,6716
01051,87694,42743,44951,4785,5050,5655,5890,5268,12341,11408,11702,6078,5684,8419,4441,973,38.9,64769,18276,248,602,677,87694,36787,32184,24812,7372
01053,36755,18476,18279,2119,2209,2582,2555,1829,4772,4551,4494,2361,2453,3877,2203,750,40.5,22762,11138,1124,90,227,36755,16715,13022,8744,4278
01055,103348,50134,53214,5943,5914,6380,6069,6327,12195,12441,13972,7009,7016,12145,6114,1823,41.9,80555,15724,329,748,2404,103348,47412,38791,28454,10337
01057,16297,7997,8300,846,888,1048,1106,981,1756,1771,2062,1130,1248,2023,1112,326,43.7,13727,2074,24,36,28,16297,7816,6143,4659,1484
01059,32011,16071,15940,2318,1928,2352,2257,1805,4038,3654,4103,2178,1919,3117,1579,763,39.3,24853,1360,134,35,4210,32011,13940,11239,8231,3008
01061,26647,13037,13610,1432,1944,1434,1563,1292,3084,3098,3505,1945,1936,3160,1641,613,43.6,22360,2472,71,143,636,26647,12494,10391,7870,2521
01063,7706,3707,3999,544,574,317,410,412,976,801,760,539,549,1001,641,182,41.1,1333,6305,7,0,12,7706,4271,2872,2112,760
01065,14742,7020,7722,968,1390,646,816,942,1890,1507,1572,1055,1053,1772,751,380,40.5,5663,8373,42,9,11,14742,7464,5403,4187,1216
01067,17282,8303,8979,829,994,1105,928,865,1897,2106,2175,1235,1195,2403,1151,399,44.6,12194,4375,60,96,74,17282,9110,6686,5454,1232
01069,107040,51565,55475,6580,6286,7279,6680,6222,13560,13371,13374,6923,7315,11454,5963,2033,40.4,71260,29166,309,987,967,107040,49339,41543,27196,14347
01071,52618,25883,26735,2613,2990,3288,3021,2883,6005,6489,6948,3637,3927,6471,3504,842,43,47208,1731,397,213,948,52618,24706,20670,15733,4937
01073,672265,319713,352552,41464,42604,42968,44042,43877,95684,86330,80188,40932,44425,66373,30313,13065,37.9,338374,287203,1225,11712,13328,672265,308428,265794,170356,95438
01075,13885,6930,6955,946,673,902,761,709,1548,1582,1747,932,1010,1717,967,391,44.2,11913,1527,49,23,94,13885,7104,5168,3858,1310
01077,94329,45493,48836,4677,4909,5433,6519,8227,11175,10475,11311,6516,6110,10916,6048,2013,40.8,79592,9317,315,576,697,94329,44705,38237,25815,12422
01079,33116,16299,16817,1748,1869,2374,1812,1835,4087,3726,4536,2641,2339,3637,1838,674,42.7,25421,3371,1669,97,464,33116,15270,12829,10191,2638
01081,175126,86692,88434,9618,9141,11488,15832,21963,23917,21449,20326,9758,9474,13861,5912,2387,33,120255,39363,270,7614,1894,175126,75473,65166,42517,22649
01083,104199,52385,51814,5694,6287,6815,6483,5853,13600,14679,14413,7188,7164,9659,4930,1434,40.2,80040,13714,880,1917,2571,104199,42616,38572,29968,8604
01085,10153,4842,5311,588,603,638,707,582,1208,1150,1157,837,716,1120,594,253,41.7,2493,7603,0,0,0,10153,4823,4001,3100,901
01087,19198,8865,10333,895,731,989,2390,2313,2043,1443,2013,1244,1254,2354,1147,382,37.8,3133,15142,7,78,49,19198,9662,7131,4489,2642
01089,389781,191913,197868,22089,23109,23901,26393,26984,54503,48924,49076,28005,26891,35046,18693,6167,38.5,254819,95400,2008,9675,6988,389781,171313,159569,108545,51024
01091,19180,9100,10080,1237,1007,1369,1372,1198,1858,2250,2351,1410,1310,2206,1034,578,41.7,8705,9750,64,151,141,19180,9834,7379,5038,2341
01093,29203,14510,14693,1435,1578,1889,1884,1632,3296,3148,4098,2670,1459,3363,2122,629,44,26673,1113,93,85,470,29203,14143,11018,8031,2987
01095,97923,48686,49237,6896,5969,7527,6789,5747,11798,11628,12120,6410,6156,9978,5263,1642,38.8,83991,2746,877,600,4197,97923,41328,35930,27083,8847
01097,413878,198642,215236,26468,25576,27797,26921,27248,57179,50390,49004,26880,27359,41545,20758,6753,38.2,234657,150071,1625,8383,5107,413878,184845,159605,101334,58271
01099,19816,9758,10058,618,1272,1492,1344,1383,1769,2330,2517,1305,1625,2408,1394,359,43.7,10645,8384,260,47,31,19816,10214,7298,5285,2013
01101,228132,107680,120452,15285,14848,14845,15404,16308,32020,28626,26720,15112,13329,21527,9882,4226,36.9,74723,134763,333,7604,3126,228132,105488,89721,51349,38372
01103,123102,60953,62149,7366,7662,8098,7661,7441,14698,15395,15809,8304,8609,12918,6639,2502,40.6,94056,16631,471,605,5058,123102,53324,48004,34922,13082
01105,8479,3912,4567,517,438,542,1170,498,620,891,959,535,572,854,630,253,41.8,2411,6004,1,7,8,8479,3985,3075,2157,918
01107,18925,9149,9776,944,972,1092,1124,1201,2335,2383,2476,1143,1583,2128,1100,444,42.9,10880,7506,33,10,134,18925,8714,7083,5253,1830
01109,32997,15843,17154,1674,1875,1644,3534,5065,3870,3249,3334,1631,2064,2892,1562,603,31.1,18678,12302,112,664,133,32997,16049,11996,7561,4435
01111,22179,10787,11392,1232,1302,1303,1408,1320,2494,2375,2849,1467,1796,2702,1507,424,44.1,17068,4203,25,62,182,22179,12412,8729,6917,1812
01113,58849,28125,30724,3971,3842,4107,3738,3323,8495,7519,7362,3950,3773,5407,2657,705,37.2,27622,26410,107,459,1199,58849,27382,23462,14351,9111
01115,91719,45680,46039,4981,5357,6488,5524,4846,11701,12238,12224,6749,5656,9717,5155,1083,41,78169,8985,310,373,1215,91719,38133,33838,27658,6180
01117,223916,109226,114690,11946,14061,15371,15675,13218,26992,30516,31185,14935,13836,22134,10993,3054,40,174752,29118,533,4491,6362,223916,89612,83776,67810,15966
01119,12196,5586,6610,655,559,757,1212,1659,1099,1254,1157,876,699,1329,762,178,35.8,3109,8813,10,57,16,12196,6329,4798,3324,1474
01121,81105,39386,41719,4323,5020,4375,4939,5042,10370,9747,10658,4816,6749,9180,4785,1101,42.1,51186,25893,124,350,979,81105,38088,32359,23275,9084
01123,41251,20025,21226,2228,2522,2256,2487,2201,4606,4252,5239,3271,3008,5503,2798,880,45.2,28516,10957,26,190,388,41251,22777,16438,12409,4029
01125,231558,111807,119751,12874,12819,13707,23139,27060,32704,27453,25027,11931,13277,19696,8931,2940,32.8,143889,74222,393,3817,2009,231558,101330,84743,52792,31951
01127,64978,32122,32856,3691,4267,3920,3847,3972,7868,7321,8238,4634,4457,7491,3860,1412,41.8,57555,3890,100,123,1126,64978,30127,24718,19152,5566
01129,15434,7664,7770,843,895,781,996,1419,1392,1599,1928,1361,1169,1925,993,133,43.7,10298,3608,1042,62,20,15434,7779,5506,4868,638
01131,10441,4892,5549,658,506,789,873,546,1199,1079,1216,800,606,1289,636,244,41.1,2876,7328,13,4,0,10441,5314,3579,2844,735
01133,23655,11764,11891,1240,1179,1466,1393,1379,2538,2509,3154,1957,1704,2952,1804,380,45.4,22050,263,123,105,371,23655,13091,9103,7122,1981
02013,3407,2102,1305,108,88,124,142,270,515,633,593,301,237,270,96,30,41.6,576,183,1263,676,277,3407,1089,899,529,370
02016,5219,3484,1735,220,281,204,334,319,885,831,1150,414,252,283,40,6,39.2,1356,201,487,2123,285,5219,1403,969,268,701
02020,290674,149144,141530,19434,20387,18419,18328,21652,48906,40272,34222,17449,16837,22832,9338,2598,34.5,172004,15469,21507,28440,7728,290674,118938,107134,68356,38778
02050,18538,9909,8629,1970,1925,1586,1576,1372,2814,2020,1878,1027,935,1004,338,93,28.7,1678,215,15452,262,89,18538,6003,4565,2693,1872
02060,854,489,365,66,38,29,40,45,196,97,76,67,92,63,39,6,36.4,387,3,269,48,22,854,875,284,144,140
02063,7000,3717,3283,412,356,552,408,343,1139,966,753,421,725,687,191,47,37.8,5015,113,371,489,344,7000,3760,2755,1725,1030
02066,2614,1388,1226,188,152,230,155,98,231,298,366,244,203,303,131,15,43.1,1385,1,886,12,37,2614,2564,1090,750,340
02068,2101,1417,684,64,50,94,106,113,228,603,301,194,52,221,65,10,44.4,1591,48,64,73,45,2101,1385,525,456,69
02070,4854,2492,2362,419,427,405,350,351,763,515,456,288,312,410,118,40,30.7,775,76,3451,78,2,4854,2417,1384,841,543
