county,state,demand_index_100,demand_tier,idx_market_size,idx_infra_age,idx_climate_stress,idx_economic_capacity,idx_operational_complexity,idx_growth_potential,est_total_meters,est_residential_meters,est_commercial_meters,est_industrial_meters,est_transport_meters,total_pop,total_housing_units,median_income,median_year_built,n_utilities,n_iou,n_coop,n_muni
Autauga County,Alabama,49.5697599999543,4,0.5349252714811878,0.23287671232876717,0.35063259470865327,0.28998254133896256,0.7252644716479695,0.5945453893857505,29715.272740628254,26678.94710789953,2954.4955702817147,81.83006244700937,0,59947,25039,72481,1994,3,1,2,0
Baldwin County,Alabama,59.91229050697636,5,0.6543264278493423,0.1643835616438356,0.3571718399120445,0.3376148071386038,0.5997360242309633,0.7071625881701671,277171.18933137605,245729.7127436276,30843.996845871126,597.4797418773456,0,246989,132258,78775,1999,6,1,2,3
Barbour County,Alabama,39.469387989750736,2,0.5048705141108433,0.3835616438356164,0.29208544065461256,0.17962244545917036,0.6495015792530376,0.5238394868756404,16103.519628007853,13804.47427504018,2258.190312128975,40.85504083869621,0,24643,11762,46042,1983,4,1,3,0
Bibb County,Alabama,40.39238527211303,2,0.4731602628517279,0.28767123287671237,0.3125190982803089,0.20910528764329092,0.758318343063785,0.5152847175972758,9729.427920746806,8688.27489490504,1011.3054296786411,29.847596163126983,0,22130,9133,52541,1990,2,1,1,0
Blount County,Alabama,50.53129944481609,4,0.5275094898599217,0.28767123287671237,0.3923793094326903,0.25478021933999084,0.7782397701429469,0.5939741443538903,20221.242544885266,17698.549745450706,2441.791625112403,80.9011743221569,0,59518,24918,64190,1990,1,1,0,0
Bullock County,Alabama,30.989699935660052,1,0.43460945738013107,0.3287671232876712,0.3040866446222398,0.1233544548851351,0.7034416073556913,0.4525671339651983,4608.979202272792,4039.594093640285,553.7934064964539,15.591702136052827,0,10058,4579,31310,1987,3,1,2,0
Butler County,Alabama,39.12501011158086,2,0.47733898664493285,0.4383561643835616,0.321919748954736,0.17216705220385536,0.7161359107811943,0.5015918463591097,10115.961839403251,8997.672121739564,1085.9437996419856,32.34591802170061,0,18630,9885,44755,1979,3,1,2,0
Calhoun County,Alabama,54.382090922779625,4,0.5861370969878739,0.4383561643835616,0.37778078573108087,0.21998655185012383,0.6802202670236043,0.6471125983702797,54949.06921325847,46725.65417105952,8021.871374520886,201.54366767807113,0,116090,53361,55029,1979,3,1,2,0
Chambers County,Alabama,44.26456270513432,3,0.5054539829437265,0.4383561643835616,0.3300243605615348,0.1971583531441408,0.7172455483863444,0.5498875804253719,16087.08216557371,14331.668451389622,1700.9892051046058,54.42450907948327,0,34192,16435,49656,1979,3,1,2,0
Cherokee County,Alabama,42.90865512295178,3,0.5076287422801891,0.34246575342465757,0.33002300142476687,0.2217928068949457,0.7193239863603187,0.52638048570579965,14004.04737208457,11911.90409067961,2044.2542751674848,47.889006237474746,0,25443,14702,53863,1986,2,1,1,0
Chilton County,Alabama,48.123450304822164,4,0.5188196992213701,0.31506849315068497,0.34086613914288655,0.2560415826029628,0.758318343063785,0.5734684302817264,21134.580151067108,18872.95364502585,2196.7905857215114,64.83592031974995,0,45992,19839,65603,1988,2,1,1,0
Choctaw County,Alabama,36.806792366714134,2,0.46375071261380924,0.36986301369863017,0.3465268265028846,0.18803899216963826,0.7251565264250213,0.4690870514361804,6821.324369321397,5850.247556251684,947.6271663451665,23.44964672454739,0,12380,7200,47813,1984,2,1,1,0
Clarke County,Alabama,41.65327297737203,3,0.5036740940738134,0.410958904109589,0.3421003864765189,0.19236299653330097,0.7046931986004636,0.516755366820497,18016.13365463593,15810.724671601147,2146.718246137639,58.6907368971468,0,22543,11749,49249,1981,3,1,2,0
Clay County,Alabama,37.73228093002241,2,0.4592821640223388,0.36986301369863017,0.34235822735553006,0.22074054653519354,0.7137590952927058,0.47995098087124266,7487.473410668645,6646.986393075287,813.2627057799343,27.224311813422844,0,14192,7106,55250,1984,3,1,2,0
Cleburne County,Alabama,38.839305820770505,2,0.45405153130507003,0.3013698630136986,0.38629373926490407,0.22323297417484395,0.7557719607617741,0.48658219099652356,6712.111197810967,5980.217701431988,709.1302426270856,22.763253751893398,0,15426,6874,55345,1989,2,1,1,0
Coffee County,Alabama,47.14148124479478,3,0.5529124303657696,0.3287671232876712,0.312804757864577,0.27180263337375654,0.6162365714415491,0.5875792082525422,40118.082821487995,34594.154753383074,5440.601593054057,83.32647505086226,0,54920,24656,68353,1987,5,1,4,0
Colbert County,Alabama,49.21214133868676,4,0.5717258741081326,0.4383561643835616,0.39983243197715046,0.241993965412495,0.6073130555724913,0.5919493859784816,38881.61505161505,30842.70657913515,8017.90761619333,21.000856286570574,0,58022,28040,60628,1979,4,0,1,3
Conecuh County,Alabama,33.91421473645261,1,0.46552911659788593,0.3972602739726028,0.31903081009186235,0.16219781399101652,0.6601262193355311,0.4616512123471985,8604.978906709475,7488.130146450098,1091.9487810017326,24.899979257645022,0,11275,6444,41327,1982,4,1,2,1
Coosa County,Alabama,36.646923634050964,2,0.4489995699854413,0.3561643835616438,0.33138102757940563,0.21760278238995528,0.7583183430637849,0.4544580370955176,6453.615936043376,5763.009888682221,670.8078717828981,19.798175578257226,0,10300,6058,57355,1985,2,1,1,0
Covington County,Alabama,41.8470000677965,3,0.5406182093800639,0.4383561643835616,0.31011297339456323,0.21039150892697378,0.5396556913603697,0.5575037841056972,35821.69686053457,31101.96737005512,4542.666669991745,177.06282048770427,0,37628,18714,52456,1979,7,1,4,2
Crenshaw County,Alabama,35.65890577356915,2,0.45793727083667174,0.3972602739726028,0.3127631201208662,0.18820357099625765,0.6889175209383414,0.47371650166102586,8324.834861737125,7489.900177735979,812.8789502565162,22.055733744628203,0,13122,6583,48560,1982,4,1,3,0
Cullman County,Alabama,52.12520200569467,4,0.5861154458630368,0.3287671232876712,0.3843480346270297,0.2555675694881251,0.6387648389955188,0.6273642502560962,65477.9982121755,55200.58170364463,10139.42796915291,137.98853937796042,0,90566,39871,62656,1987,4,1,2,1
Dale County,Alabama,44.61016668575185,3,0.5581983328942708,0.3835616438356164,0.3020697676270363,0.21656163750989152,0.5729773409778453,0.5794737692415851,47477.298926677504,40628.25093824661,6768.599421538959,80.44856689194143,0,49599,22968,54963,1983,6,1,4,1
