"Cust_ID","Concession_Total","Most_Purch_Concession"
944514287,1068.41,"Peanuts"
511025475,947.78,"Soda"
556776182,714.09,"Popcorn"
730295770,927.01,"Popcorn"
171763482,839.55,"Candy"
777051822,1082.19,"Hot Dog"
735168918,660.16,"Hot Dog"
591824459,713.35,"Soda"
663188114,889.3,"Burger"
635906983,1750.74,"Hot Dog"
755591322,1755.51,"Candy"
230180449,896.92,"Soda"
251574289,1342.88,"Popcorn"
316230620,929.19,"Beer"
443664248,759.35,"Soda"
723392737,961.09,"Burger"
942411800,783.1,"Specialty"
247839026,1195.61,"Specialty"
833410322,787.76,"Beer"
929837505,804.27,"Hot Dog"
378952019,933.48,"Candy"
716120750,898.57,"Popcorn"
349482498,2058.94,"Soda"
683480486,1233.96,"Specialty"
777639919,1192.35,"Soda"
923337729,672.63,"Candy"
782964642,1271.69,"Hot Dog"
826897818,1034.86,"Beer"
511754595,1339.96,"Popcorn"
141385620,864.8,"Beer"
449812082,761.01,"Beer"
661955724,754.75,"Hot Dog"
387404561,975.54,"Candy"
434966971,847.05,"Peanuts"
225219582,921.58,"Soda"
810161628,2464.51,"Burger"
526202574,854.56,"Specialty"
924839980,682.71,"Soda"
364291643,1631.17,"Popcorn"
777175339,852.71,"Burger"
608833953,883.2,"Soda"
913998065,924.53,"Specialty"
867886688,768.95,"Peanuts"
749445084,964.9,"Soda"
286133700,938.8,"Hot Dog"
983700484,1199.54,"Specialty"
957006710,754.79,"Popcorn"
399809215,1110.44,"Hot Dog"
870981906,1791.45,"Beer"
339369327,915.2,"Beer"
956045440,1260.28,"Soda"
462065659,811.38,"Candy"
940646577,838.49,"Hot Dog"
535035128,1221.8,"Hot Dog"
714129563,1246.37,"Specialty"
106964181,736.1,"Soda"
120394924,729.95,"Specialty"
400660195,1097.62,"Specialty"
595896649,1184.37,"Popcorn"
122109113,833.77,"Specialty"
130903314,2381.25,"Specialty"
498895578,1110.55,"Peanuts"
965560509,1160.5,"Hot Dog"
767243941,2167,"Hot Dog"
680141862,1337.56,"Soda"
322824731,1279.67,"Popcorn"
499596957,2334.35,"Burger"
752834909,944.9,"Candy"
718339409,1200.86,"Burger"
115922398,786.02,"Hot Dog"
845081016,903.06,"Peanuts"
159034302,1247.08,"Popcorn"
779198303,986.76,"Soda"
860881448,976.56,"Specialty"
530788609,960.68,"Specialty"
621914030,992.52,"Beer"
247824038,666.47,"Beer"
744433478,768.96,"Popcorn"
822468732,868.79,"Soda"
373951723,574.91,"Hot Dog"
929400187,829.14,"Burger"
330204030,987.11,"Specialty"
366463314,1256.05,"Hot Dog"
969991882,806.63,"Candy"
147849041,1107.17,"Beer"
543232844,2096.49,"Specialty"
898983110,1809.02,"Beer"
411855068,753.68,"Beer"
105650233,998.19,"Popcorn"
348549783,854.28,"Soda"
200257728,1359.14,"Peanuts"
698026265,638.54,"Candy"
858845182,743.33,"Hot Dog"
983527840,952.16,"Soda"
449298160,695.28,"Popcorn"
646551538,802.92,"Popcorn"
717619420,941.36,"Hot Dog"
849903688,798.65,"Soda"
665753141,1263.64,"Soda"
229050756,806.17,"Soda"
891553474,0,"Beer"
599079321,938.61,"Beer"
976061355,800.04,"Beer"
606694421,1365.92,"Peanuts"
652368824,894.63,"Hot Dog"
431703372,695.82,"Beer"
661800026,1380.38,"Soda"
888679363,1096.69,"Popcorn"
541056084,1864.09,"Popcorn"
210718698,971.65,"Specialty"
565922169,908.67,"Specialty"
971395296,1353.14,"Popcorn"
536477154,757.28,"Popcorn"
868668967,1030.32,"Popcorn"
953087502,847.64,"Specialty"
364607051,763.2,"Hot Dog"
841007782,1333.7,"Hot Dog"
735477448,1278.03,"Soda"
886948551,1116.65,"Popcorn"
106047472,1211.82,"Hot Dog"
258380478,708.57,"Soda"
235039071,947.24,"Burger"
304032446,673.05,"Candy"
787341311,585.75,"Hot Dog"
541204736,797.76,"Beer"
316247302,2048.72,"Specialty"
244919346,1205.68,"Soda"
275678028,1451.41,"Popcorn"
712718274,815.59,"Hot Dog"
484935229,1333.64,"Peanuts"
619189933,2454.17,"Burger"
182219938,938.55,"Candy"
669880181,589.64,"Beer"
173488175,929.49,"Beer"
215965151,885.96,"Popcorn"
158544726,922.8,"Beer"
705142839,885.21,"Burger"
539525969,758.73,"Hot Dog"
788164531,1281.61,"Burger"
848256022,850.84,"Popcorn"
507189912,765.82,"Soda"
132615792,1203.52,"Hot Dog"
911595010,1269.12,"Soda"
979638564,374.63,"Soda"
128990495,1314.19,"Beer"
697003274,918.17,"Beer"
198384528,907.36,"Soda"
199540335,1151.33,"Hot Dog"
717510872,856.99,"Beer"
672000756,2408.17,"Hot Dog"
717577283,1305.42,"Soda"
405543995,1376.71,"Popcorn"
735474257,1348.22,"Popcorn"
762927862,1186.47,"Beer"
760830270,2023.5,"Beer"
943307433,891.38,"Burger"
212530649,863.16,"Soda"
496738833,857.02,"Specialty"
539621749,776.08,"Popcorn"
911932432,2495.41,"Candy"
320175319,790.55,"Peanuts"
241808689,717.86,"Specialty"
953699812,840.18,"Hot Dog"
857978618,886.68,"Peanuts"
782002474,1302.69,"Popcorn"
768165855,693.18,"Beer"
644049978,1234.21,"Hot Dog"
727384004,1128.16,"Beer"
203645538,1746.16,"Hot Dog"
512752355,1079.23,"Beer"
180268856,776.1,"Beer"
687759835,891.73,"Soda"
386068016,2536.26,"Beer"
786651960,2267.19,"Hot Dog"
828913756,793.55,"Beer"
224497866,792.97,"Popcorn"
884119784,697.13,"Specialty"
735696029,932.81,"Burger"
517159775,903.06,"Hot Dog"
643132419,976.61,"Popcorn"
183785549,1240.32,"Hot Dog"
436730173,791.15,"Hot Dog"
170976158,2432.23,"Popcorn"
582809185,840.55,"Specialty"
913020170,1006.08,"Popcorn"
542818668,455.5,"Beer"
881303947,582.02,"Hot Dog"
577373908,1183.21,"Soda"
145499108,775.82,"Candy"
322042929,787.82,"Specialty"
967070269,820.91,"Specialty"
740973240,1268.85,"Popcorn"
813800361,2461.74,"Soda"
153421393,796.36,"Burger"
317517472,987.74,"Beer"
696766649,1263.23,"Beer"
651721063,1260.8,"Hot Dog"
612917699,926.39,"Peanuts"
224387336,894.63,"Soda"
783876827,1127.31,"Soda"
665256935,1632.26,"Hot Dog"
444602482,2781.78,"Beer"
825325154,821.33,"Popcorn"
750996224,898.93,"Soda"
597110722,1420.13,"Burger"
134900326,1809.97,"Beer"
761664457,1175.19,"Burger"
572050334,1363.2,"Soda"
570059915,756.72,"Beer"
807233385,1872.02,"Beer"
136153538,922.69,"Beer"
924804000,991.71,"Peanuts"
312577744,1874.71,"Soda"
452264694,783.02,"Burger"
854057161,675.48,"Burger"
629533913,748.64,"Hot Dog"
896827335,915.16,"Candy"
665596942,1242.51,"Burger"
407642454,879.99,"Hot Dog"
828504753,1247.09,"Hot Dog"
931409373,1339.84,"Hot Dog"
900962911,765.57,"Specialty"
675813361,1017.67,"Beer"
152743387,614.52,"Hot Dog"
694926210,1031.8,"Burger"
196246132,1333.33,"Beer"
832481421,927.32,"Beer"
764345186,938.6,"Soda"
710414413,735.39,"Burger"
803228027,912.11,"Specialty"
721803939,849.31,"Specialty"
806940596,745.21,"Beer"
726852697,756.5,"Soda"
426196881,806.04,"Burger"
469939071,914,"Burger"
808664031,623.96,"Popcorn"
402498041,955.17,"Soda"
448482243,911.07,"Beer"
266887293,615.48,"Burger"
231693121,1007.46,"Popcorn"
179335967,861.14,"Candy"
409281831,901.39,"Hot Dog"
587141295,1071.48,"Hot Dog"
290186132,827.07,"Beer"
149913763,1372.09,"Beer"
917329891,855.17,"Burger"
909860473,1233.89,"Burger"
803363287,917.21,"Soda"
322224818,1059.41,"Beer"
712493124,905.97,"Popcorn"
613077124,1623.12,"Hot Dog"
519581206,1864.58,"Burger"
318466734,0,""
190035209,817.16,"Hot Dog"
560840481,1690.05,"Beer"
322105398,979.69,"Popcorn"
163307688,1309.72,"Beer"
138034588,887.65,"Soda"
806364380,965.93,"Specialty"
179802493,801.08,"Hot Dog"
625460553,1170.53,"Soda"
825301427,1097.92,"Hot Dog"
967700079,830.5,"Soda"
410269792,828.82,"Beer"
694241275,680.5,"Popcorn"
315248944,1077.92,"Popcorn"
859271803,0,""
840213364,2099.87,"Beer"
994863359,865.63,"Beer"
836752206,659.67,"Popcorn"
477735583,1318.64,"Soda"
921332258,887.45,"Specialty"
148976406,745.13,"Specialty"
493576723,818.41,"Peanuts"
423040800,992.64,"Burger"
711078090,875.34,"Soda"
936107794,1169.49,"Hot Dog"
597001170,798.28,"Hot Dog"
709482078,867.2,"Popcorn"
958909596,957.99,"Candy"
430988861,1848.4,"Soda"
457422620,1364.19,"Burger"
530159599,720.14,"Beer"
585741002,1779.94,"Beer"
399516320,782.18,"Popcorn"
977055616,916.83,"Soda"
543859543,959.27,"Popcorn"
885293334,901.97,"Beer"
778425700,893.34,"Specialty"
569450039,864.12,"Burger"
705083052,835.4,"Hot Dog"
201843552,999.49,"Hot Dog"
632825821,1103.05,"Popcorn"
918118933,754.18,"Beer"
485159931,934.98,"Hot Dog"
179630284,757.94,"Hot Dog"
343190833,858.25,"Hot Dog"
979106108,1849.48,"Burger"
897383722,2405.61,"Burger"
482549570,1313.66,"Burger"
837405413,1769.73,"Peanuts"
526425814,1204.9,"Soda"
272492093,1311.5,"Popcorn"
917036798,775.7,"Burger"
124056647,627.28,"Burger"
461271318,1306.55,"Peanuts"
420632647,662.5,"Burger"
647818349,1268.58,"Soda"
432091576,928.84,"Soda"
923680611,760.68,"Specialty"
922130521,1168.02,"Popcorn"
475691205,903.92,"Popcorn"
561917987,1674.83,"Peanuts"
919858810,891.39,"Soda"
924733166,777.69,"Soda"
990414470,1323.83,"Hot Dog"
498641801,648.18,"Hot Dog"
262112626,1194.81,"Burger"
536648635,753.19,"Specialty"
552843469,712.54,"Specialty"
368221987,1292.47,"Beer"
542862548,2418.83,"Beer"
743230163,754.72,"Beer"
133192153,773.13,"Beer"
342157298,773.51,"Beer"
940739595,956.02,"Beer"
540402091,998.83,"Hot Dog"
680453330,513.54,"Specialty"
292784007,964.56,"Hot Dog"
276790543,931.97,"Hot Dog"
589078613,839.46,"Hot Dog"
433691234,961.81,"Beer"
798060307,2453.52,"Beer"
120227330,2370.22,"Specialty"
887341365,929.67,"Popcorn"
916201868,774.48,"Beer"
309294580,953.13,"Popcorn"
584197615,605.46,"Specialty"
354686771,851.61,"Burger"
991027852,2373.72,"Beer"
494328815,2007.96,"Soda"
343680609,818.26,"Soda"
943548599,809.13,"Beer"
329483801,1199.84,"Soda"
693151806,1236.67,"Specialty"
726240434,916.85,"Hot Dog"
841138658,1734.65,"Hot Dog"
795138310,751.58,"Beer"
985235834,981.57,"Beer"
466508067,873.84,"Soda"
229679869,932.85,"Hot Dog"
279178048,793.88,"Beer"
476607412,819.78,"Burger"
476325942,599.37,"Hot Dog"
322230389,1452.87,"Soda"
956003410,763.61,"Beer"
762230448,996.45,"Popcorn"
194920544,1200.23,"Popcorn"
360896280,967.58,"Peanuts"
173287309,753.02,"Beer"
482393131,721.03,"Soda"
429289000,972.03,"Specialty"
731967195,754.4,"Beer"
726874216,840.38,"Beer"
549832714,949.37,"Soda"
155267919,1188.31,"Hot Dog"
494727456,913.48,"Hot Dog"
438789463,890.84,"Peanuts"
750322909,618.31,"Beer"
641069254,867.92,"Popcorn"
200677785,775.02,"Specialty"
805309383,491.5,"Popcorn"
883112923,905.9,"Peanuts"
536428082,992.2,"Popcorn"
395704031,945.64,"Beer"
378764160,799.54,"Hot Dog"
356034947,0,"Hot Dog"
223742673,1011.5,"Popcorn"
652689124,1370.76,"Burger"
218463984,560.76,"Peanuts"
950785386,798.95,"Soda"
171395712,2557.03,"Popcorn"
662391691,1319.49,"Soda"
398952594,901.57,"Beer"
914930377,899.85,"Hot Dog"
613035621,2473.93,"Burger"
