"Cust_ID","spent_other_teams","Team_Store_Total"
944514287,500,736.36
511025475,1341.95,125.78
556776182,892.6125,0
730295770,500,101.15
171763482,0,308.8
777051822,3627.37,6172.55
735168918,1325.2,0
591824459,0,935.3
663188114,2489.05,106.32
635906983,2188.425,0
755591322,0,0
230180449,500,148.51
251574289,1342.88,0
316230620,1809.325,518.27
443664248,0,521.86
723392737,0,342.87
942411800,0,1698.36
247839026,500,162.39
833410322,500,342.7
929837505,0,69.96
378952019,1166.85,0
716120750,500,83.25
349482498,2261.36,202.42
683480486,500,0
777639919,1755.575,212.11
923337729,1340.7875,0
782964642,1589.6125,0
826897818,1293.575,0
511754595,0,490.65
141385620,0,3122.13
449812082,1354.9875,322.98
661955724,1443.4375,0
387404561,500,1043.73
434966971,2302.625,74
225219582,1219,53.62
810161628,0,1598.03
526202574,1068.2,0
924839980,0,865.32
364291643,2163.3125,99.48
777175339,1157.15,73.01
608833953,500,105.05
913998065,1302.7875,117.7
867886688,1532.68,763.73
749445084,0,101.21
286133700,0,67.42
983700484,2414.2125,731.83
957006710,1051.3125,86.26
399809215,500,0
870981906,2239.3125,0
339369327,1210.7625,53.41
956045440,0,0
462065659,500,77.08
940646577,0,0
535035128,500,181.18
714129563,0,0
106964181,500,79.76
120394924,1954.975,834.03
400660195,1986.3125,491.43
595896649,2100.2,495.79
122109113,1042.2125,0
130903314,0,0
498895578,0,387.16
965560509,1318.91,158.41
767243941,0,114.91
680141862,0,660.37
322824731,1178.555,1077.44
499596957,1167.175,0
752834909,1401.38,456.48
718339409,1501.075,0
115922398,1054.9,57.9
845081016,0,52.65
159034302,500,0
779198303,500,0
860881448,1025.335,1074.11
530788609,500,0
621914030,0,138.78
247824038,946.4875,90.72
744433478,2259.77,1490.81
822468732,500,74.77
373951723,1102.6,307.17
929400187,1224.275,150.28
330204030,1331.45,78.05
366463314,500,525.39
969991882,0,105.03
147849041,0,81.2
543232844,0,160.44
898983110,500,111.77
411855068,0,969.4
105650233,1600.1625,281.94
348549783,1126.6375,47.03
200257728,1288.09,1217.04
698026265,0,0
858845182,0,1455.57
983527840,500,57.82
449298160,0,146.88
646551538,0,63.39
717619420,1057.33,115.97
849903688,1868.725,696.33
665753141,0,1076.48
229050756,1411.7,323.19
891553474,641.75,113.4
599079321,0,485.72
976061355,500,799.1
606694421,2496.325,631.14
652368824,0,0
431703372,1839.52,1143.7
661800026,1725.475,0
888679363,1610.1375,191.42
541056084,0,166.91
210718698,500,766.78
565922169,500,0
971395296,2142.45,360.82
536477154,500,282.05
868668967,0,661.29
953087502,500,0
364607051,500,352.99
841007782,500,151.68
735477448,1278.03,0
886948551,1395.8125,0
106047472,1514.775,0
258380478,500,866.04
235039071,500,81.68
304032446,917.2,60.71
787341311,0,0
541204736,2351.925,143.01
316247302,0,366.15
