"Y01","Account_Type","Additional_Seats","Age","Arrival_Time","Auto_Renew_STH","Concession_Total","Cust_ID","DistA","Educational_Level","Favorite_Caps_Player","Favorite_Sport","Favorite_Team","First_Year_STH","HouseHold_Income_True","ID","Job_Sector","Last_Contact","Marital","Mode_Of_Transport","Most_Purch_Concession","Mult_Loc","Net_Worth_True","Num_Children","NumSeats","PerSold","PerTransf","PerUsed","Rejoined_STH","Rep_Calls","Rep_Name","Rep_Visits","Seating_Location","Sex","Spent_Other_Teams","State_Name","STH_Attended","Survey_Comp","Team_B_STH","Team_C_STH","Team_Network_Sub","Team_Store_Total","Tenure","Ticket_Form","Total_Spent","Weekday_Attended","Weekday_Sold","Weekend_Attended","Weekend_Sold","Zip_Codes","Contact_Year","Contact_Month","Contact_Day","Contact_Weekday","Contact_Hour","Marital_Original","Region","Flag_Tenure_High","Flag_Survey_Invalid"
1,"Shared",0,85,30,"Yes",952.16,100127003,35,"SC","T.J. Oshie","NHL","Washington Capitals",1993,NA,1,"Tech",2021-03-15 01:35:08.748959,"U","Uber/Taxi","Soda","No",NA,0,2,0.007184515,0.055028278,0.94,FALSE,61,"David",14.5,"221","M",1190.2,"Maryland",4,0.38,"No","No","No",0,32,"Digital",2142.36,0.624113475,0.375886525,1,0.084,21207,2021,3,15,"Mon",1,"U","DCArea",0,0
1,"Personal",0,NA,15,"No",1339.7,100229315,NA,NA,NA,NA,"Washington Capitals",2019,NA,2,NA,2020-03-18 11:50:49.86613,"M",NA,"Hot Dog","No",NA,1,4,0.223153733,0.066969132,0.768231648,TRUE,61,NA,16,"Club","M",1807.35,"District of Columbia",1,0.04,NA,NA,"No",106.18,NA,"Digital",3253.23,0.829078014,0.170921986,0.37,0.222,20002,2020,3,18,"Wed",11,"M","DCArea",NA,0
0,"Personal",0,69,15,"Yes",946.44,100395829,NA,NA,NA,NA,"Other",2017,NA,3,NA,2018-10-29 15:27:39.406952,"M",NA,"Beer","No",NA,0,2,0.08405759,0.06217064,0.143352605,TRUE,48.1246596,"Frank",8,"Club","M",0,"Washington",1,0,NA,NA,"No",98.98,3,"Physical",1045.42,0.739716312,0.260283688,0.58,0.052,98008,2018,10,29,"Mon",15,"M","West",0,0
0,"Personal",0,28,30,"No",968.18,100593202,NA,"MD","Sonny Milano","NHL","Other",2021,NA,4,"Finance",2024-04-25 11:58:49.256871,NA,"Public","Popcorn","No",NA,0,2,0.025999056,0.094246958,0.119211488,FALSE,30,"Other",6,"Suite","M",0,"Washington",0,0,"No","Yes","Yes",0,4,"Digital",968.18,0.829787234,0.170212766,0.9,0.1,98001,2024,4,25,"Thu",11,NA,"West",0,0
1,"Personal",0,53,30,"Yes",792.38,100659535,3,"BD","Alexander Ovechkin","NHL","Washington Capitals",2018,NA,5,"Gov",2019-07-07 16:56:34.503924,"M","Public","Beer","No",NA,0,2,0.056108139,0.064121361,0.896897095,TRUE,65,"Grace",9,"Club","M",1083.45,"District of Columbia",3,0.22,"No","No","No",74.38,1,"Digital",1950.21,0.621985816,0.378014184,0.99,0.074,20007,2019,7,7,"Sun",16,"M","DCArea",0,0
1,"Personal",0,73,45,"No",927.74,100731815,NA,NA,NA,NA,"Washington Capitals",1988,90000,6,NA,2018-12-31 19:17:10.523948,"M",NA,"Soda","No",NA,1,2,0.007631888,0.02590935,0.83,FALSE,72,"Emma",15,"Club","F",1105.925,"Virginia",3,0,NA,NA,"Yes",1284.11,37,"Digital",3317.775,0.512765957,0.487234043,0.38,0.078,20107,2018,12,31,"Mon",19,"M","DCArea",0,0
1,"Personal",0,86,30,"Yes",852.34,101139647,38,NA,NA,NA,"Washington Capitals",1990,NA,7,NA,2018-02-10 18:46:36.711264,"M",NA,"Hot Dog","No",NA,2,2,0.139292953,0.22418062,0.86,FALSE,69,"Emma",NA,"Club",NA,1033.665,"Maryland",1,0.15,NA,NA,"No",1214.99,35,"Digital",3100.995,0.636170213,0.363829787,0.79,0.153,21209,2018,2,10,"Sat",18,"M","DCArea",0,0
0,"Personal",0,81,0,"Yes",890.92,101169386,NA,NA,NA,NA,"Other",2001,65000,8,NA,2023-06-13 09:44:16.071733,"M",NA,"Hot Dog","No",NA,0,2,0.048265349,0.010758435,0.04720162,FALSE,78,"Emma",36.5,"223","M",2526.03,"Florida",1,0.36,NA,NA,"No",4161.14,24,"Physical",7578.09,0.379432624,0.620567376,0.21,0.001,33102,2023,6,13,"Tue",9,"M","South",0,0
1,"Personal",0,89,-60,"Yes",1440.84,101316201,37,NA,NA,NA,"Washington Capitals",2025,NA,9,NA,2018-06-02 06:47:19.08798,NA,NA,"Popcorn","No",NA,0,4,0.020255242,0.047473297,0.785615162,FALSE,59.56115714,"Alice",15,"Suite","M",1933.125,"Maryland",2,0.24,NA,NA,"No",105.66,1,"Digital",3479.625,0.793617021,0.206382979,0.97,0.155,21211,2018,6,2,"Sat",6,NA,"DCArea",0,0
1,"Personal",0,50,45,"No",962.41,101344499,35,"BD","Dylan Strome","NHL","Washington Capitals",2017,NA,10,"Finance",2023-06-19 03:56:51.618731,"M","Public","Burger","No",2250000,3,4,0.205574557,0.13283106,0.616061368,TRUE,72.09157341,"Grace",8,"404",NA,500,"Maryland",3,0.56,"Yes","No","No",106.08,1,"Digital",1568.49,0.586524823,0.413475177,0.69,0.277,21207,2023,6,19,"Mon",3,"M","DCArea",0,0
1,"Personal",0,54,30,"No",974.12,101467680,2,NA,NA,NA,"Washington Capitals",2021,NA,11,NA,2024-12-04 11:59:18.055488,NA,NA,"Burger","No",NA,1,2,0.276296847,0.241875053,0.936806389,FALSE,62.90645142,"Frank",15,"Club","M",1402.475,"District of Columbia",2,0,NA,NA,"No",147.86,4,"Digital",2524.455,0.929078014,0.070921986,0.85,0.279,20010,2024,12,4,"Wed",11,NA,"DCArea",0,0
0,"Shared",0,NA,30,"Yes",684.55,101477651,NA,NA,NA,NA,"Other",2021,NA,12,NA,2021-10-01 17:54:49.278672,"M",NA,"Beer","No",NA,1,2,0.095408463,0.039954612,0.010339444,FALSE,67,"Grace",6,"406","M",855.6875,"California",0,0.17,NA,NA,"Yes",0,4,"Physical",1540.2375,0.531205674,0.468794326,0.87,0.02,90006,2021,10,1,"Fri",17,"M","West",0,0
0,"Personal",0,27,30,"No",778.76,101575629,NA,NA,NA,NA,"Other",2024,NA,13,NA,2019-07-01 23:00:12.125154,"S",NA,"Hot Dog","No",NA,2,2,0.092713832,0.083069058,0.191181319,FALSE,73.16217179,"Grace",15.5,"212","M",1473.45,"Idaho",2,0.37,NA,NA,"No",0,1,"Digital",2252.21,0.40141844,0.59858156,0.64,0.187,83709,2019,7,1,"Mon",23,"S","West",0,0
1,"Shared",0,30,30,"No",922.51,101642402,120,NA,NA,NA,"Philadelphia Flyers",2022,45000,14,NA,2022-04-01 05:44:28.364619,"D",NA,"Hot Dog","No",550000,1,2,0.004115726,0.011857692,0.95,FALSE,14,"Emma",11.5,"215","M",1295.2125,"Pennsylvania",1,0.37,NA,NA,"Yes",113.66,3,"Digital",2331.3825,0.659574468,0.340425532,0.85,0.012,19003,2022,4,1,"Fri",5,"D","Northeast",0,0
