"Y01","Account_Type","Additional_Seats","Age","Arrival_Time","Auto_Renew_STH","Concession_Total","DistA","Educational_Level","Favorite_Caps_Player","Favorite_Sport","Favorite_Team","First_Year_STH","HouseHold_Income_True","Job_Sector","Marital","Mode_Of_Transport","Most_Purch_Concession","Mult_Loc","Net_Worth_True","Num_Children","NumSeats","PerSold","PerTransf","PerUsed","Rejoined_STH","Rep_Calls","Rep_Name","Rep_Visits","Sex","Spent_Other_Teams","STH_Attended","Survey_Comp","Team_B_STH","Team_C_STH","Team_Network_Sub","Team_Store_Total","Tenure","Ticket_Form","Total_Spent","Weekday_Attended","Weekday_Sold","Weekend_Attended","Weekend_Sold","Region"
1,"Shared",0,85,30,"Yes",952.16,35,"SC","T.J. Oshie","NHL","Washington Capitals",1993,125000,"Tech","U","Uber/Taxi","Soda","No",2700000,0,2,0.007184515,0.055028278,0.94,FALSE,61,"David",14.5,"M",1190.2,4,0.38,"No","No","No",0,32,"Digital",2142.36,0.624113475,0.375886525,1,0.084,"DCArea"
1,"Personal",0,58,15,"No",1339.7,37,"AD","Sonny Milano","NHL","Washington Capitals",2019,60000,"Manufact","M","Other","Hot Dog","No",6e+05,1,4,0.223153733,0.066969132,0.768231648,TRUE,61,"David",16,"M",1807.35,1,0.04,"Yes","No","No",106.18,1,"Digital",3253.23,0.829078014,0.170921986,0.37,0.222,"DCArea"
0,"Personal",0,69,15,"Yes",946.44,132,"BD","Alexander Ovechkin","Other","Other",2017,25000,"Gov","M","Car","Beer","No",4050000,0,2,0.08405759,0.06217064,0.143352605,TRUE,48.1246596,"Frank",8,"M",0,1,0,"No","No","No",98.98,3,"Physical",1045.42,0.739716312,0.260283688,0.58,0.052,"West"
0,"Personal",0,28,30,"No",968.18,136,"MD","Sonny Milano","NHL","Other",2021,45000,"Finance","M","Public","Popcorn","No",4e+05,0,2,0.025999056,0.094246958,0.119211488,FALSE,30,"Other",6,"M",0,0,0,"No","Yes","Yes",0,4,"Digital",968.18,0.829787234,0.170212766,0.9,0.1,"West"
1,"Personal",0,53,30,"Yes",792.38,3,"BD","Alexander Ovechkin","NHL","Washington Capitals",2018,65000,"Gov","M","Public","Beer","No",1500000,0,2,0.056108139,0.064121361,0.896897095,TRUE,65,"Grace",9,"M",1083.45,3,0.22,"No","No","No",74.38,1,"Digital",1950.21,0.621985816,0.378014184,0.99,0.074,"DCArea"
1,"Personal",0,73,45,"No",927.74,32,"MD","T.J. Oshie","NHL","Washington Capitals",1988,90000,"Tech","M","Car","Soda","No",7e+05,1,2,0.007631888,0.02590935,0.83,FALSE,72,"Emma",15,"F",1105.925,3,0,"No","Yes","Yes",1284.11,37,"Digital",3317.775,0.512765957,0.487234043,0.38,0.078,"DCArea"
1,"Personal",0,86,30,"Yes",852.34,38,"PHD","Tom Wilson","NHL","Washington Capitals",1990,1e+05,"Finance","M","Public","Hot Dog","No",7e+05,2,2,0.139292953,0.22418062,0.86,FALSE,69,"Emma",13,"M",1033.665,1,0.15,"Yes","Yes","No",1214.99,35,"Digital",3100.995,0.636170213,0.363829787,0.79,0.153,"DCArea"
0,"Personal",0,81,0,"Yes",890.92,201,"HS","Tom Wilson","NHL","Other",2001,65000,"Finance","M","Other","Hot Dog","No",1550000,0,2,0.048265349,0.010758435,0.04720162,FALSE,78,"Emma",36.5,"M",2526.03,1,0.36,"Yes","No","No",4161.14,24,"Physical",7578.09,0.379432624,0.620567376,0.21,0.001,"South"
1,"Personal",0,89,-60,"Yes",1440.84,37,"BD","Ethen Frank","Other","Washington Capitals",2025,125000,"Tech","M","Public","Popcorn","No",2350000,0,4,0.020255242,0.047473297,0.785615162,FALSE,59.56115714,"Alice",15,"M",1933.125,2,0.24,"No","No","No",105.66,1,"Digital",3479.625,0.793617021,0.206382979,0.97,0.155,"DCArea"
1,"Personal",0,50,45,"No",962.41,35,"BD","Dylan Strome","NHL","Washington Capitals",2017,120000,"Finance","M","Public","Burger","No",2250000,3,4,0.205574557,0.13283106,0.616061368,TRUE,72.09157341,"Grace",8,"M",500,3,0.56,"Yes","No","No",106.08,1,"Digital",1568.49,0.586524823,0.413475177,0.69,0.277,"DCArea"
