Cust_ID,tenure,Rejoined_STH,DistA,PerUsed,PerTransf,PerSold,NumSeats,Mult_Loc,Sex,Educational_Level,Age,Marital,Job_Sector,Num_Children,State_Name,Mode_of_Transport,Favorite_Caps_Player,Favorite_Team,Favorite_Sport,UnempRate,InfRate,Survey_Comp,Team_Network_Sub,Rep_Name,STH_Attended,Rep_Calls,Rep_Visits,Arrival_Time,Team_B_STH,Team_C_STH,Total Spent,Net_Worth_True,HouseHold_Income_True,NHL_Team_Record,Playoffs,Last_Team_Championship,ticket_form,Weekday_Attended,Weekday_Sold,First_Year_STH,Weekend Attended,Weekend Sold,Additional_Seats,Seating_Location,Auto_Renew_STH,Account_Type,Y01
944514287,21,FALSE,NA,0.93,0.031254193,0.058627378,4,No,M,NA,88,D,NA,NA,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0.29,Yes,Frank,3,57,13,45,NA,NA,2304.77,1250000,85000,51-22-9,Yes,2018,Digital,0.723404255,0.276595745,2004,1,0.011,0,428,No,Personal,1
511025475,4,FALSE,999,0.071335474,0.105767,0.136894299,2,No,M,NA,59,M,NA,2,Colorado,NA,NA,Colorado Avalanche,NA,0.042,0.023,0,No,Emma,0,45.32347644,11,45,NA,NA,2415.51,NA,NA,51-22-9,Yes,2018,Digital,0.35248227,0.64751773,2021,0.69,0.023,0,Club,Yes,Business,0
556776182,22,FALSE,32,0.687130003,0.132367302,0.132891733,2,No,M,NA,98,M,NA,0,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0.72,No,Frank,3,39,10,30,NA,NA,1606.7025,NA,65000,51-22-9,Yes,2018,Digital,0.685815603,0.314184397,2003,0.99,0.113,0,410,No,Personal,1
730295770,1,FALSE,209,0.85,0.111790036,0.027178379,4,No,M,NA,54,NA,NA,2,New Jersey,NA,NA,New Jersey Devils,NA,0.042,0.023,0.16,No,Grace,0,NA,5,45,NA,NA,1528.16,1400000,NA,51-22-9,Yes,2018,Digital,0.736879433,0.263120567,2025,0.97,0.105,0,430,Yes,Business,0
171763482,9,FALSE,999,0.154600604,0.035376615,0.125743892,2,No,M,HS,87,M,Tech,0,New Hampshire,Car,Dylan Strome,Philadelphia Flyers,NHL,0.042,0.023,0.29,No,Emma,2,68.26284603,8.5,-30,No,No,1148.35,1400000,NA,51-22-9,Yes,2018,Digital,0.936879433,0.063120567,2016,0.8,0.003,0,218,Yes,Personal,0
777051822,39,FALSE,32,0.226146545,0.153684328,0.021319553,2,No,M,NA,78,S,NA,0,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Emma,1,24,49,30,NA,NA,10882.11,NA,45000,51-22-9,Yes,2018,Digital,0.40141844,0.59858156,1986,0.99,0.115,0,Club,Yes,Personal,1
735168918,12,FALSE,NA,0.004121679,0.059346513,0.149718357,2,No,NA,NA,70,S,NA,0,Wisconsin,NA,NA,Washington Capitals,NA,0.042,0.023,0.35,No,NA,3,64,10.5,45,NA,NA,1985.36,NA,NA,51-22-9,Yes,2018,Physical,0.422695035,0.577304965,2013,0.74,0.253,0,217,No,Personal,0
591824459,27,FALSE,999,0.129266344,0.054799934,0.091521633,2,No,M,NA,78,NA,NA,1,Mississippi,NA,NA,Philadelphia Flyers,NA,0.042,0.023,0.11,No,David,3,42,7,45,NA,NA,1648.65,2300000,NA,51-22-9,Yes,2018,Digital,0.546808511,0.453191489,1998,0.85,0.034,0,427,Yes,Personal,0
663188114,3,FALSE,38,0.58769087,0.037899054,0.069971275,2,No,M,NA,52,M,NA,3,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0.39,No,David,1,26,16,30,NA,NA,3484.67,NA,160000,51-22-9,Yes,2018,Digital,0.681560284,0.318439716,2022,0.75,0.093,0,Club,Yes,Personal,1
635906983,14,FALSE,999,0.021261747,0.016464488,0.140033939,6,No,M,NA,34,M,NA,1,Oklahoma,NA,NA,New Jersey Devils,NA,0.042,0.023,0.39,No,Frank,4,76,19.5,60,NA,NA,3939.165,NA,55000,51-22-9,Yes,2018,Digital,0.54822695,0.45177305,2011,0.68,0.15,0,224,Yes,Personal,0
